Date,Open,High,Low,Close,Volume,Adj Close
2014-01-01,122.40,122.40,122.40,122.40,000,119.25
2014-01-02,122.90,123.00,122.00,122.80,1904500,119.64
2014-01-03,121.60,121.60,120.20,120.50,3567600,117.40
2014-01-06,120.50,120.60,119.60,120.30,3002500,117.21
2014-01-07,122.00,122.20,120.70,121.40,3708200,118.28
2014-01-08,121.40,122.80,120.80,121.70,3140200,118.57
2014-01-09,122.50,122.50,119.60,120.10,2946200,117.01
2014-01-10,120.50,121.80,120.30,120.50,2508800,117.40
2014-01-13,120.50,121.10,119.60,120.10,3679500,117.01
2014-01-14,119.10,120.20,119.10,119.90,2855200,116.82
2014-01-15,120.40,120.80,119.70,120.10,3756500,117.01
2014-01-16,120.20,120.40,119.50,120.00,3466400,116.92
2014-01-17,120.50,122.00,119.80,121.50,3204900,118.38
2014-01-20,121.30,121.50,120.00,120.60,2111500,117.50
2014-01-21,120.50,121.40,120.00,120.50,2330000,117.40
2014-01-22,120.90,121.40,119.90,120.20,3153600,117.11
2014-01-23,120.00,120.50,118.20,118.30,4741400,115.26
2014-01-24,118.10,119.20,117.70,117.90,2592900,114.87
2014-01-27,116.90,116.90,115.60,115.70,3755400,112.73
2014-01-28,117.10,117.30,115.10,117.00,3189600,113.99
2014-01-29,117.70,117.70,114.50,114.80,3301500,111.85
2014-01-30,113.90,115.30,113.60,114.90,2551700,111.95
2014-01-31,114.90,114.90,114.90,114.90,000,111.95
2014-02-03,114.90,114.90,114.90,114.90,000,111.95
2014-02-04,112.80,115.60,112.70,114.90,5440500,111.95
2014-02-05,115.80,115.90,112.60,113.20,3934200,110.29
2014-02-06,112.50,114.20,112.30,113.40,2880600,110.48
2014-02-07,113.10,114.30,112.30,113.00,4353200,110.10
2014-02-10,113.70,114.00,111.80,112.70,3212600,109.80
2014-02-11,113.50,115.50,113.10,114.30,2656900,111.36
2014-02-12,115.30,117.50,113.90,116.60,4083900,113.60
2014-02-13,117.00,118.40,116.30,117.40,3952100,114.38
2014-02-14,119.50,119.50,117.50,118.20,3462300,115.16
2014-02-17,119.10,119.50,116.10,116.70,3292400,113.70
2014-02-18,116.50,118.40,116.30,117.80,1971300,114.77
2014-02-19,119.20,119.40,118.40,118.50,2859300,115.45
2014-02-20,119.20,119.20,116.00,116.10,3442800,113.12
2014-02-21,117.50,118.50,117.20,118.40,2527500,115.36
2014-02-24,119.60,119.60,117.70,118.80,3776400,115.75
2014-02-25,119.50,119.80,118.50,119.20,4949800,116.14
2014-02-26,119.20,119.30,118.00,118.20,3397600,115.16
2014-02-27,119.00,121.00,118.40,120.50,3666300,117.40
2014-02-28,121.70,123.80,119.90,121.60,5616700,118.47
2014-03-03,120.50,121.30,118.60,120.70,3443100,117.60
2014-03-04,121.30,123.80,121.00,123.60,4182900,120.42
2014-03-05,124.00,125.00,123.50,124.60,6277200,121.40
2014-03-06,124.80,125.80,124.40,125.60,5028300,122.37
2014-03-07,126.30,127.00,125.50,126.30,4625600,123.05
2014-03-10,125.00,125.20,123.40,124.80,4491000,121.59
2014-03-11,125.90,125.90,124.60,125.20,2165400,121.98
2014-03-12,123.80,124.70,122.90,123.10,3470000,119.94
2014-03-13,123.70,124.50,122.20,122.40,3012000,119.25
2014-03-14,121.20,122.80,120.60,120.80,3652500,117.69
2014-03-17,120.70,122.40,120.70,121.50,2274100,118.38
2014-03-18,122.20,122.20,120.30,121.10,2044400,117.99
2014-03-19,121.50,122.60,120.20,122.60,2294100,119.45
2014-03-20,122.00,122.00,120.20,120.60,2854800,117.50
2014-03-21,122.20,123.10,121.40,122.80,4692700,119.64
2014-03-24,125.30,125.90,120.70,123.10,9751700,119.94
2014-03-25,123.40,124.50,122.50,124.10,4424300,120.91
2014-03-26,124.20,127.30,124.20,126.80,5986000,123.54
2014-03-27,127.10,128.70,126.50,128.10,4669500,124.81
2014-03-28,128.90,129.40,127.10,127.50,4396800,124.22
2014-03-31,129.90,129.90,128.00,128.60,2848500,125.29
2014-04-01,129.80,130.70,128.60,130.60,3377400,127.24
2014-04-02,131.00,135.10,130.00,134.90,9823800,131.43
2014-04-03,136.50,138.00,134.80,135.40,6546800,131.92
2014-04-04,135.30,136.50,133.30,133.70,3992300,130.26
2014-04-07,134.10,135.30,132.70,133.90,3430400,130.46
2014-04-08,133.10,134.30,132.60,133.20,3673000,129.78
2014-04-09,133.30,135.00,132.70,134.00,4764100,130.56
2014-04-10,135.30,136.00,133.70,135.20,4061900,131.72
2014-04-11,134.90,136.80,134.60,136.60,3434500,133.09
